id,,4845b080-fa42-441e-8796-1682541d16c7,ff2f7a0d-ae31-4027-8324-574a7b6e8956,455c0bbf-7c7e-4789-87f6-50f26e6e62c6,c1e2dae7-4994-49b5-b64e-68ac6e3113cf,3500c8e4-ece4-4330-a791-b2f9f8630499,c780c322-fd90-4905-bbbd-75d995407c93,ce08ed38-8287-4164-b658-1cdae67ebf1d,fce7d420-1147-4707-b6f2-986359bed805,059ae877-60dc-43d9-ae9c-39b8884b72a1,d1cb9490-4fd8-4431-be90-006b1b981a0c
name,,Arjun,Elena,Sarah,Mike,Priya,David,Chloe,James,Lila,Sam
id,name,,,,,,,,,,
4845b080-fa42-441e-8796-1682541d16c7,Arjun,-1.0,0.9,0.7,0.8,0.9,0.8,1.0,1.0,0.95,0.7
ff2f7a0d-ae31-4027-8324-574a7b6e8956,Elena,0.9,-1.0,0.8,1.0,0.8,1.0,0.9,0.8,0.8,0.8
455c0bbf-7c7e-4789-87f6-50f26e6e62c6,Sarah,0.7,0.8,-1.0,0.9,1.0,0.4,0.9,0.8,0.8,0.8
c1e2dae7-4994-49b5-b64e-68ac6e3113cf,Mike,0.8,1.0,0.9,-1.0,0.6,0.6,1.0,0.8,0.8,0.5
3500c8e4-ece4-4330-a791-b2f9f8630499,Priya,0.9,0.8,1.0,0.6,-1.0,0.8,0.8,0.8,0.0,0.85
c780c322-fd90-4905-bbbd-75d995407c93,David,0.8,1.0,0.4,0.6,0.8,-1.0,1.0,0.95,0.8,0.85
ce08ed38-8287-4164-b658-1cdae67ebf1d,Chloe,1.0,0.9,0.9,1.0,0.8,1.0,-1.0,0.9,0.8,0.85
fce7d420-1147-4707-b6f2-986359bed805,James,1.0,0.8,0.8,0.8,0.8,0.95,0.9,-1.0,0.8,0.9
059ae877-60dc-43d9-ae9c-39b8884b72a1,Lila,0.95,0.8,0.8,0.8,0.0,0.8,0.8,0.8,-1.0,0.5
d1cb9490-4fd8-4431-be90-006b1b981a0c,Sam,0.7,0.8,0.8,0.5,0.85,0.85,0.85,0.9,0.5,-1.0
