id,,4845b080-fa42-441e-8796-1682541d16c7,ff2f7a0d-ae31-4027-8324-574a7b6e8956,455c0bbf-7c7e-4789-87f6-50f26e6e62c6,c1e2dae7-4994-49b5-b64e-68ac6e3113cf,3500c8e4-ece4-4330-a791-b2f9f8630499,c780c322-fd90-4905-bbbd-75d995407c93,ce08ed38-8287-4164-b658-1cdae67ebf1d,fce7d420-1147-4707-b6f2-986359bed805,059ae877-60dc-43d9-ae9c-39b8884b72a1,d1cb9490-4fd8-4431-be90-006b1b981a0c
name,,Arjun,Elena,Sarah,Mike,Priya,David,Chloe,James,Lila,Sam
id,name,,,,,,,,,,
4845b080-fa42-441e-8796-1682541d16c7,Arjun,-1.0,0.295,0.983,0.469,1.211,0.985,0.255,0.822,0.525,0.991
ff2f7a0d-ae31-4027-8324-574a7b6e8956,Elena,0.295,-1.0,0.245,1.041,0.143,0.248,1.192,0.496,1.088,0.054
455c0bbf-7c7e-4789-87f6-50f26e6e62c6,Sarah,0.983,0.245,-1.0,0.481,1.162,0.997,0.419,1.359,0.503,0.937
c1e2dae7-4994-49b5-b64e-68ac6e3113cf,Mike,0.469,1.041,0.481,-1.0,0.294,0.368,0.935,0.659,1.415,0.207
3500c8e4-ece4-4330-a791-b2f9f8630499,Priya,1.211,0.143,1.162,0.294,-1.0,0.966,0.301,1.029,0.36,0.97
c780c322-fd90-4905-bbbd-75d995407c93,David,0.985,0.248,0.997,0.368,0.966,-1.0,0.599,0.887,0.414,1.389
ce08ed38-8287-4164-b658-1cdae67ebf1d,Chloe,0.255,1.192,0.419,0.935,0.301,0.599,-1.0,0.62,0.961,0.407
fce7d420-1147-4707-b6f2-986359bed805,James,0.822,0.496,1.359,0.659,1.029,0.887,0.62,-1.0,0.659,0.762
059ae877-60dc-43d9-ae9c-39b8884b72a1,Lila,0.525,1.088,0.503,1.415,0.36,0.414,0.961,0.659,-1.0,0.236
d1cb9490-4fd8-4431-be90-006b1b981a0c,Sam,0.991,0.054,0.937,0.207,0.97,1.389,0.407,0.762,0.236,-1.0
