,Arjun,Elena,Sarah,Mike,Priya,David,Chloe,James,Lila,Sam
Arjun,-1.0,0.211,0.595,0.284,0.82,0.609,0.089,0.512,0.335,0.584
Elena,0.211,-1.0,0.073,0.704,0.029,0.075,0.805,0.178,0.761,-0.047
Sarah,0.595,0.073,-1.0,0.201,0.77,0.612,0.155,0.998,0.206,0.564
Mike,0.284,0.704,0.201,-1.0,0.075,0.133,0.537,0.292,0.997,0.074
Priya,0.82,0.029,0.77,0.075,-1.0,0.586,0.106,0.697,0.131,0.563
David,0.609,0.075,0.612,0.133,0.586,-1.0,0.347,0.55,0.165,0.986
Chloe,0.089,0.805,0.155,0.537,0.106,0.347,-1.0,0.239,0.575,0.226
James,0.512,0.178,0.998,0.292,0.697,0.55,0.239,-1.0,0.27,0.489
Lila,0.335,0.761,0.206,0.997,0.131,0.165,0.575,0.27,-1.0,0.051
Sam,0.584,-0.047,0.564,0.074,0.563,0.986,0.226,0.489,0.051,-1.0
